5.03735;12;7078;119;7080;116;5.65685;0.75;308;0.707107;0;0.707238;0.00364775;1;25.7199
225.905;47;7322;1908;7314;1902;12.0416;0.652778;332;3.53553;0.106383;1.0614;0.695371;0.888889;25.1703
172.522;144;7610;1227;7618;1215;20;0.75;370;2.54951;0;2.50793;-0.192219;1.33333;25.1714
62.4265;86;5600;1577;5591;1583;15.5563;0.710744;151;0.707107;0;1.66905;-0.0598631;1;26.5711
233.736;86;6606;31;6613;39;15.5563;0.710744;295;2.54951;0;2.28815;-0.230814;1;26.7219
254.215;141;8060;1493;8071;1507;21.9317;0.5875;512;5.70088;0;1.6675;0.729692;1.06667;26.0985
18.8572;4;8469;1220;8471;1221;3.60555;0.666667;442;1.58114;0;0.326694;0.576141;0.666667;25.1758
44.8932;5;8636;585;8634;586;3.60555;0.833333;467;0.707107;0.2;0.42555;-0.424947;0.666667;24.4763
39.1604;7;6589;446;6592;447;4.47214;0.875;218;1.58114;0.285714;0.392097;0.191478;0.5;25.67
1783.71;154;8528;857;8531;833;27.5136;0.65812;434;5.70088;0.74026;6.24061;0.0109012;2.88889;26.1915
131.54;194;6771;1073;6756;1050;32.0156;0.388;312;6.96419;0;2.00458;0.856845;1.25;26.5557
474.324;284;6912;1724;6920;1766;47.7598;0.394444;333;18.8282;0;12.9898;0.02176;2.8125;26.1612
15.2779;56;4886;706;4891;699;12.0416;0.777778;30;0.707107;0;1.5026;-0.00366777;0.888889;24.6698
628.717;318;7105;840;7079;833;42.0119;0.370629;291;12.9808;0.00314465;6.0225;-0.044109;0.787879;24.919
479.878;169;7336;2004;7308;2011;33.1059;0.402381;319;4.30116;0.0118343;1.82286;-0.760892;0.466667;24.8451
45.0946;20;8022;582;8026;584;7.81025;0.666667;409;0.707107;0;0.773064;0.0388827;0.833333;24.6164
85.5878;83;6025;202;6018;195;15.5563;0.68595;184;0.707107;0;1.75506;-0.0245001;1;25.8477
271.329;239;7382;1021;7395;1001;30.2324;0.562353;384;5.70088;0;3.65667;-0.434935;1.47059;25.9226
22.5603;67;7844;199;7850;191;13.4536;0.744444;444;0.707107;0;1.39739;-0.357118;0.9;25.9925
336.835;197;7172;1160;7194;1188;39.0512;0.262667;208;16.9853;0;2.4501;0.878033;1.2;25.0226
35.6656;10;7342;835;7348;836;7.28011;0.714286;226;3.53553;0;0.356765;0.616649;0.285714;24.7224
97.6058;46;6624;313;6630;308;10.6301;0.821429;180;0.707107;0;1.08587;-0.0357466;1.14286;25.2211
277.292;66;7709;1605;7727;1598;21.0238;0.385965;274;3.53553;0.0606061;1.25054;-0.851949;0.473684;25.3714
125.021;23;4769;1584;4774;1580;7.81025;0.766667;19;0.707107;0.217391;0.970727;-0.255916;0.833333;26.1881
445.791;170;5999;692;6015;698;22.4722;0.745614;179;5.70088;0.00588235;2.70271;0.145212;0.631579;26.4631
8.25482;32;6402;1766;6406;1761;9.21954;0.761905;242;0.707107;0;1.12059;-0.0351522;1.16667;25.8724
255.365;160;8046;1910;8059;1921;22.6716;0.627451;497;1.58114;0;2.04193;0.445027;1.13333;26.2244
118.696;37;4913;1184;4918;1180;9.21954;0.880952;22;0.707107;0;0.965628;0.0605687;0.857143;24.6073
216.045;49;4728;1957;4727;1968;14.3178;0.628205;4;5.52268;0.102041;3.04379;0.143893;2.16667;25.1998
177.199;101;6002;1841;6010;1849;16.2788;0.765152;127;0.707107;0;1.86637;0.00443176;0.916667;25.7316
96.8461;41;7363;1437;7367;1442;10.6301;0.732143;243;0.707107;0;1.1785;-0.00930514;1.14286;24.9344
473.597;211;5472;1063;5453;1088;35.4683;0.339775;127;14.9833;0;2.48347;-0.87798;1.17391;26.0762
2026.22;214;7917;719;7922;692;31.7805;0.567639;441;5.14782;0.616822;6.93641;0.0650266;2.23077;25.9669
7.19862;9;6773;1579;6771;1581;5;0.75;175;0.707107;0;0.585418;0.024118;1.33333;24.7743
5.07739;9;7022;1608;7025;1609;5;0.75;191;0.707107;0;0.573978;-0.0173622;0.75;24.1396
140.873;61;8415;556;8393;537;30.4795;0.132609;305;9.61769;0;0.774278;0.980756;0.869565;24.7295
97.0342;14;4941;39;4943;41;5.65685;0.875;28;0.707107;0.142857;0.864281;-0.218721;1;26.1582
151.635;72;4700;415;4706;406;15;0.666667;8;1.58114;0;1.66715;-0.267879;1.33333;26.2488
3337.26;421;5003;1407;4986;1422;35.609;0.683442;52;5.70088;0.425178;4.14312;0.00680464;0.785714;27.1049
22.1998;25;5906;460;5909;464;8.60233;0.714286;183;1.58114;0;0.837507;-0.000280362;0.714286;25.6914
494.506;366;6220;1858;6258;1857;44.3847;0.525108;228;15.7003;0;2.77576;-0.521269;0.414634;25.7574
2045.07;207;4864;1298;4869;1323;30.4631;0.616071;26;3.53553;0.652174;6.51001;0.0798798;2.33333;26.0123
25.9257;48;4948;2020;4970;2020;23.1948;0.695652;37;1.58114;0;0.507774;0.0329381;0.130435;25.2613
451.944;120;5378;1303;5395;1299;25.0799;0.521739;82;6.5192;0;1.61824;-0.166799;0.434783;25.9174
